Lit,Cat
Aruba,Caribbean & Central Amer.
Afghanistan,Middle East
Angola,Africa
Anguilla,Caribbean & Central Amer.
Albania,Europe
Netherlands Antilles,Caribbean & Central Amer.
United Arab Emirates,Middle East
Argentina,S. Amer.
Armenia,Asia
Antigua and Barbuda,Caribbean & Central Amer.
Azerbaijan,Asia
Burundi,Africa
Benin,Africa
Burkina Faso,Africa
Bangladesh,Asia
Bulgaria,Europe
Bahrain,Middle East
Bosnia and Herzegovina,Europe
Belarus,Europe
Belize,Caribbean & Central Amer.
Bolivia,S. Amer.
Brazil,S. Amer.
Brunei,Africa
Bhutan,Africa
Botswana,Africa
Central African Republic,Africa
Chile,S. Amer.
China,Asia
Cote d'Ivoire,S. Amer.
Cameroon,Africa
"Congo, Dem. Rep.",Africa
Colombia,S. Amer.
Comoros,Africa
Cape Verde,Africa
Costa Rica,Caribbean & Central Amer.
Cuba,Caribbean & Central Amer.
Cayman Islands,Caribbean & Central Amer.
Cyprus,Middle East
Dominican Republic,Caribbean & Central Amer.
Algeria,Africa
Ecuador,S. Amer.
Egypt,Africa
Eritrea,Africa
Spain,Europe
Estonia,Europe
Ethiopia,Africa
Gabon,Africa
Georgia,Asia
Ghana,Africa
Guinea,Africa
Gambia,Africa
Guinea-Bissau,S. Amer.
Equatorial Guinea,Africa
Greece,Europe
Guatemala,Caribbean & Central Amer.
Guyana,Africa
Honduras,Caribbean & Central Amer.
Croatia,Europe
Haiti,Caribbean & Central Amer.
Hungary,Europe
Indonesia,Asia
India,Asia
Iran,Middle East
Iraq,Middle East
Israel,Middle East
Italy,Europe
Jamaica,Caribbean & Central Amer.
Jordan,Middle East
Kazakhstan,Asia
Kenya,Africa
Kyrgyz Republic,Asia
Cambodia,Asia
Kuwait,Middle East
Lao,Asia
Lebanon,Middle East
Liberia,Africa
Libya,Africa
Sri Lanka,Asia
Lesotho,Africa
Lithuania,Europe
Latvia,Europe
"Macao, China",Asia
Morocco,Africa
Moldova,Europe
Madagascar,Africa
Maldives,Asia
Mexico,North America
North Macedonia,Europe
Mali,Africa
Malta,Europe
Myanmar,Asia
Montenegro,Europe
Mongolia,Asia
Mozambique,Africa
Mauritania,Africa
Mauritius,Africa
Malawi,Africa
Malaysia,Asia
Namibia,Africa
Niger,Africa
Nigeria,Africa
Nicaragua,Caribbean & Central Amer.
Nepal,Asia
Oman,Middle East
Pakistan,Middle East
Panama,Caribbean & Central Amer.
Peru,S. Amer.
Philippines,Asia
Palau,Oceania
Papua New Guinea,Oceania
Poland,Europe
Puerto Rico,Caribbean & Central Amer.
North Korea,Asia
Portugal,Europe
Paraguay,S. Amer.
Palestine,Middle East
Qatar,Middle East
Romania,Europe
Russia,Asia
Rwanda,Africa
Saudi Arabia,Africa
Sudan,Africa
Senegal,Africa
Singapore,Asia
Sierra Leone,Africa
El Salvador,Caribbean & Central Amer.
Serbia,Europe
Sao Tome and Principe,Africa
Suriname,S. Amer.
Slovenia,Europe
Eswatini,Africa
Seychelles,Africa
Syria,Middle East
Chad,Africa
Togo,Africa
Thailand,Asia
Tajikistan,Asia
Turkmenistan,Asia
Timor-Leste,Asia
Tonga,Oceania
Trinidad and Tobago,Caribbean & Central Amer.
Tunisia,Africa
Turkey,Middle East
Tanzania,Africa
Uganda,Africa
Ukraine,Europe
Uruguay,S. Amer.
Uzbekistan,Asia
Venezuela,S. Amer.
Vietnam,Asia
Vanuatu,Oceania
Samoa,Oceania
Yemen,Middle East
South Africa,Africa
Zambia,Africa
Zimbabwe,Africa
